pk,latitude,longitude,streetAddress
282531,47.135071604852,7.244301235596,"Bahnhofstrasse 15, 2502 Biel, Switzerland"
283320,47.416141600858,9.357301234598,"Turnerstrasse 2, 9000 St. Gallen, Switzerland"
285810,46.113581603859,7.496021234595,"Route du Légeret 22, 1983 Evolène, Switzerland"
291825,46.008651608856,8.952721237592,"Via D'Alberti 1, 6900 Lugano, Switzerland"
293140,47.552281608856,7.611211235596,"Magnolienpark 5, 4052 Basel, Switzerland"
295849,47.564691605853,9.365721234597,"Arbonerstrasse 4, 8590 Romanshorn, Switzerland"
297104,47.165301604851,9.470211234596,"St. GallerStrasse 5, 9470 Buchs, Switzerland"
297941,46.512641609857,6.542291234591,"Rte Cantonale 111A, 1025 Saint-Sulpice, Switzerland"
297963,46.512641609857,6.542291234591,"Rte Cantonale 111A, 1025 Saint-Sulpice, Switzerland"
298514,47.552241606854,7.542491239596,"Spitzgartenweg 22, 4123 Allschwil, Switzerland"
298520,47.557701600858,7.554101235595,"Baselmattweg 139, 4123 Allschwil, Switzerland"
299614,46.427611609857,6.959321235596,"CXH5+2P Veytaux, Switzerland"
300372,46.427641604852,6.959431235591,"CXH5+3Q Veytaux, Switzerland"
304972,47.380301606854,8.672651234592,"Industriestrasse 18, 8604 Volketswil, Switzerland"
304988,47.380971609857,8.671571234593,"Industriestrasse 16a, 8604 Volketswil, Switzerland"
305871,47.380301606854,8.672651234592,"Industriestrasse 18, 8604 Volketswil, Switzerland"
305905,47.380301606854,8.672651234592,"Industriestrasse 18, 8604 Volketswil, Switzerland"
313512,46.393631607855,6.924591234598,"Rte de Praz-Bérard 3B, 1844 Villeneuve, Switzerland"
313610,46.393641600858,6.925051235598,"Rte de Praz-Bérard 3A, 1844 Villeneuve, Switzerland"
313807,47.536731609857,8.580521235595,"Im Riet 12, 8427 Freienstein-Teufen, Switzerland"
314132,47.533331603859,7.708841234591,"Augsterheglistrasse 27, 4133 Pratteln, Switzerland"
316465,46.416051604851,6.267181235598,"Rte des Avouillons 10, 1196 Gland, Switzerland"
316466,46.415941604852,6.267011234594,"Rte des Avouillons 16, 1196 Gland, Switzerland"
316503,47.473251609857,8.308591230591,"Rathausgasse 14, 5400 Baden, Switzerland"
319972,47.413621603859,8.483181233593,"Naglerwiesenstrasse 4, 8049 Zürich, Switzerland"
320882,46.532251608856,6.629461234592,"Rue de la Borde 69, 1018 Lausanne, Switzerland"
321058,46.971401605853,7.191891237591,"Allmendstrasse 8, 3210 Kerzers, Switzerland"
321417,47.420221605853,8.508131234593,"In Böden 174, 8046 Zürich, Switzerland"
322629,47.368161607855,8.780481234599,"Kempttalstrasse 26, 8330 Pfäffikon, Switzerland"
322754,46.007881605853,8.959011234592,"Via Serafino Balestra 31, 6900 Lugano, Switzerland"
325339,46.166811600858,8.796231234595,"Via Serafino Balestra 8, 6600 Locarno, Switzerland"
326896,47.380301606854,8.672651234592,"Industriestrasse 18, 8604 Volketswil, Switzerland"
329169,47.412091606854,8.547661234593,"Siewerdtstrasse 10, 8050 Zürich, Switzerland"
329970,47.430831605853,8.460891235591,"Holenbachstrasse 3, 8105 Regensdorf, Switzerland"
